num:00, damage:00, speed:1.0 _ 2.0, scale:1.0 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:01, damage:40, speed:2.0 _ 3.0, scale:1.0 _ 1.0, anim:00_20, rotspd:01.0, ymove:0.8
num:02, damage:05, speed:1.0 _ 2.0, scale:1.0 _ 1.0, anim:00_60, rotspd:03.0, ymove:0.0
num:03, damage:15, speed:0.2 _ 0.2, scale:0.9 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:04, damage:14, speed:0.2 _ 0.2, scale:1.0 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:05, damage:40, speed:2.2 _ 2.5, scale:0.6 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:06, damage:10, speed:2.5 _ 2.5, scale:0.8 _ 1.0, anim:00_04, rotspd:00.0, ymove:0.0
num:07, damage:05, speed:2.0 _ 3.0, scale:0.8 _ 0.8, anim:00_03, rotspd:01.0, ymove:0.8
num:08, damage:30, speed:1.0 _ 1.0, scale:0.8 _ 1.0, anim:00_00, rotspd:00.2, ymove:0.0
num:09, damage:10, speed:0.2 _ 0.2, scale:1.0 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:10, damage:20, speed:2.0 _ 2.0, scale:0.6 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:11, damage:15, speed:0.1 _ 0.1, scale:0.8 _ 1.0, anim:00_00, rotspd:00.0, ymove:2.0
num:12, damage:45, speed:1.0 _ 1.5, scale:0.8 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:13, damage:50, speed:2.0 _ 2.5, scale:0.6 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:14, damage:50, speed:1.0 _ 2.0, scale:0.4 _ 0.8, anim:00_10, rotspd:01.0, ymove:0.8
num:15, damage:30, speed:1.0 _ 1.0, scale:1.0 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:16, damage:10, speed:1.0 _ 2.0, scale:0.8 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:17, damage:25, speed:1.0 _ 2.0, scale:1.0 _ 1.0, anim:00_03, rotspd:00.0, ymove:0.8
num:18, damage:50, speed:2.0 _ 2.0, scale:0.6 _ 0.8, anim:00_00, rotspd:00.0, ymove:0.0
num:19, damage:45, speed:1.0 _ 2.0, scale:1.0 _ 1.0, anim:00_10, rotspd:02.0, ymove:0.8
num:20, damage:35, speed:2.0 _ 2.0, scale:0.8 _ 1.0, anim:00_00, rotspd:10.0, ymove:0.0
num:21, damage:40, speed:1.0 _ 2.0, scale:1.0 _ 1.0, anim:00_10, rotspd:02.0, ymove:0.0
num:22, damage:35, speed:0.1 _ 0.1, scale:0.8 _ 1.0, anim:00_00, rotspd:00.0, ymove:2.0
num:23, damage:35, speed:0.2 _ 0.2, scale:1.0 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:24, damage:45, speed:2.0 _ 2.0, scale:0.8 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:25, damage:20, speed:1.0 _ 2.0, scale:0.7 _ 1.0, anim:00_05, rotspd:00.0, ymove:0.8
num:26, damage:20, speed:0.1 _ 0.1, scale:0.9 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.0
num:27, damage:05, speed:1.0 _ 2.0, scale:0.7 _ 1.0, anim:00_00, rotspd:00.0, ymove:0.2
num:28, damage:25, speed:1.0 _ 1.0, scale:0.8 _ 1.0, anim:00_00, rotspd:00.2, ymove:0.0
num:29, damage:30, speed:1.0 _ 1.0, scale:0.8 _ 1.0, anim:00_00, rotspd:00.2, ymove:0.0
num:30, damage:25, speed:0.2 _ 0.2, scale:0.5 _ 0.7, anim:00_00, rotspd:00.0, ymove:0.0
