x0,y0,w504,h72,i252,j36,f7
x0,y76,w163,h206,i0,j0
x167,y78,w105,h105,i0,j0
x283,y80,w82,h91,i0,j0
x378,y79,w77,h73,i0,j0
x471,y80,w22,h22,i11,j11
x163,y217,w103,h49,i50,j25
x268,y199,w71,h60,i0,j0
x311,y282,w192,h21,i0,j0,f3
x443,y191,w41,h49,i0,j0
x348,y180,w89,h73,i0,j0
x380,y315,w128,h71,i0,j0,f2
x391,y387,w102,h121,i0,j0
x0,y338,w52,h58,i0,j0
x52,y338,w52,h58,i0,j0
x104,y338,w52,h58,i0,j0
x156,y338,w52,h58,i0,j0
x208,y338,w52,h58,i0,j0
x260,y338,w52,h58,i0,j0
x312,y338,w52,h58,i0,j0
x0,y395,w52,h58,i0,j0
x52,y395,w52,h58,i0,j0
x104,y395,w52,h58,i0,j0
x156,y395,w52,h58,i0,j0
x208,y395,w52,h58,i0,j0
x260,y395,w52,h58,i0,j0
x312,y395,w52,h58,i0,j0
x0,y453,w52,h58,i0,j0
x52,y453,w52,h58,i0,j0
x104,y453,w52,h58,i0,j0
x156,y453,w52,h58,i0,j0
x208,y453,w52,h58,i0,j0
x260,y453,w52,h58,i0,j0
x312,y453,w52,h58,i0,j0
